NOME,FASE_2022,TURMA_2022,ANO_INGRESSO_2022,BOLSISTA_2022,INDE_2022,CG_2022,CF_2022,CT_2022,PEDRA_2022,DESTAQUE_IEG_2022,DESTAQUE_IDA_2022,DESTAQUE_IPV_2022,IAA_2022,IEG_2022,IPS_2022,IDA_2022,NOTA_PORT_2022,NOTA_MAT_2022,NOTA_ING_2022,QTD_AVAL_2022,IPP_2022,REC_AVA_1_2022,REC_AVA_2_2022,REC_AVA_3_2022,REC_AVA_4_2022,INDICADO_BOLSA_2022,PONTO_VIRADA_2022,IPV_2022,IAN_2022,NIVEL_IDEAL_2022
ALUNO-18,4.0,H,2017.0,Não,5845721955648920.0,746.0,68.0,7.0,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0.0,6287640056022400,8125,5222222222222220,3.0,4833333333333330,7833333333333330,4.0,8125-07-01 00:00:00,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Sim,Não,72499975,5.0,Fase 6 (2º EM)
ALUNO-19,2.0,Q,2021.0,Não,7843149036414560.0,188.0,29.0,2.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1000002,9054621848739490,2024-05-07 00:00:00,7466666666666660,6766666666666660,8166666666666660,,3.0,6666666666666660,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,,Não,Não,8111113333333330,5.0,Fase 3 (7º e 8º ano)
ALUNO-20,0.0,Z,2022.0,Não,8616243765480890.0,28.0,3.0,1.0,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1000002,9552042160737810,2024-05-07 00:00:00,8466666666666660,8766666666666660,8166666666666660,,2.0,5625,Promovido de Fase,Mantido na Fase atual,,,Não,Sim,2024-05-08 00:00:00,10.0,ALFA  (2º e 3º ano)
ALUNO-21,3.0,N,2022.0,Não,5652385860342550.0,771.0,114.0,13.0,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,791667,5649085968379440,5.0,5166666666666660,5.0,6166666666666660,4333333333333330,3.0,703125,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,,Não,Não,6222216666666660,2024-05-02 00:00:00,Fase 6 (2º EM)
ALUNO-22,0.0,Z,2022.0,Não,8098496318150440.0,116.0,32.0,7.0,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8000020000000000,8982056590752240,2024-05-07 00:00:00,9.25,9533333333333330,8966666666666660,,2.0,6875-04-01 00:00:00,Promovido de Fase,Mantido na Fase atual,,,Não,Não,7166665,10.0,ALFA  (2º e 3º ano)
ALUNO-23,1.0,U,2022.0,Não,778265826912142.0,208.0,51.0,3.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8000020000000000,77986963456071,2024-05-07 00:00:00,9.25,2024-05-09 00:00:00,9.0,,2.0,5625-06-01 00:00:00,Promovido de Fase,Promovido de Fase,,,Não,Não,8333335,5.0,Fase 2 (5º e 6º ano)
ALUNO-24,2.0,A,2022.0,Não,826975686419753.0,66.0,6.0,1.0,Topázio,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1000002,9320987654320980,6875,6.75,6333333333333330,7166666666666660,,3.0,6458333333333330,Mantido na Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,,Sim,Sim,8611119999999990,10.0,Fase 2 (5º e 6º ano)
ALUNO-25,0.0,Y,2022.0,Não,795176506926407.0,154.0,42.0,3.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,750002,8346320346320340,2024-05-07 00:00:00,2024-01-09 00:00:00,9133333333333330,9066666666666660,,2.0,3125,Promovido de Fase,Mantido na Fase atual,,,Não,Não,8249995,10.0,ALFA  (2º e 3º ano)
ALUNO-26,0.0,F,2022.0,Não,7738020410934740.0,224.0,60.0,2.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9000020000000000,8721340388007050,2024-05-07 00:00:00,9166666666666660,9166666666666660,9166666666666660,,2.0,9375-05-01 00:00:00,Promovido de Fase,Mantido na Fase atual,,,Não,Não,7083335,5.0,Fase 1 (4º ano)
ALUNO-27,2.0,M,2022.0,Não,6350091965367960.0,668.0,122.0,9.0,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9000020000000000,6493506493506490,2024-05-07 00:00:00,4583333333333330,2333333333333330,6833333333333330,,3.0,5625,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Não,Não,7111109999999990,5.0,Fase 4 (9º ano)
ALUNO-29,3.0,C,2021.0,Não,4935556331573650.0,827.0,129.0,5.0,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0.0,4832296380090490,2024-05-07 00:00:00,5777777777777770,5333333333333330,4.0,8.0,4.0,671875,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não,Não,57083325,2024-05-02 00:00:00,Fase 6 (2º EM)
ALUNO-30,0.0,K,2022.0,Não,8083535682039540.0,122.0,34.0,5.0,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1000002,9005163410197730,2024-05-07 00:00:00,2024-01-09 00:00:00,2024-06-09 00:00:00,2024-06-08 00:00:00,,2.0,5625,Promovido de Fase + Bolsa,Mantido na Fase atual,,,Sim,Não,8250005,5.0,Fase 1 (4º ano)
ALUNO-31,0.0,V,2022.0,Não,7263157796906790.0,408.0,119.0,6.0,Ametista,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,691668,7317867317867310,2024-05-07 00:00:00,7466666666666660,2024-06-07 00:00:00,7333333333333330,,2.0,3125-05-01 00:00:00,Mantido na Fase atual,Mantido na Fase atual,,,Não,Não,6666665,10.0,ALFA  (2º e 3º ano)
ALUNO-32,7.0,D,2022.0,Não,6792708666666660.0,558.0,12.0,7.0,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,791667,8333333333333330,2024-05-07 00:00:00,4.0,8.0,0.0,,4.0,734375,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Sim,Não,7.75,5.0,Fase 8 (Universitários)
ALUNO-34,3.0,C,2018.0,Não,6666787745731960.0,599.0,78.0,4.0,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2024-05-07 00:00:00,7056167617548690,2024-05-07 00:00:00,6111111111111110,5.0,2024-05-07 00:00:00,5833333333333330,4.0,2024-05-07 00:00:00,Promovido de Fase,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não,Não,641666,5.0,Fase 4 (9º ano)
ALUNO-36,4.0,B,2019.0,Não,6854039584291180.0,538.0,46.0,8.0,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,583333,8074712643678160,6.25,5877777777777770,5.0,7166666666666660,5466666666666660,4.0,796875,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Sim,Não,77916675,5.0,Fase 6 (2º EM)
ALUNO-37,2.0,L,2018.0,Não,755554175568551.0,292.0,45.0,8.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8500020000000000,9041585445094210,2024-05-07 00:00:00,7333333333333330,2024-05-06 00:00:00,8166666666666660,,3.0,6.25,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Não,7777779999999990,5.0,Fase 3 (7º e 8º ano)
ALUNO-38,3.0,K,2021.0,Não,6695387571428570.0,590.0,77.0,11.0,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,916668,6721726190476190,6.25,5666666666666660,7.0,6833333333333330,3166666666666660,4.0,734375,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase + Bolsa,Sim,Não,720833,5.0,Fase 4 (9º ano)
ALUNO-42,0.0,E,2021.0,Não,4279765904761900.0,849.0,189.0,5.0,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9000020000000000,3148809523809520,2024-05-07 00:00:00,2024-05-02 00:00:00,2166666666666660,2833333333333330,,2.0,0.0,Não avaliado,Não avaliado,,,Não,Não,250001,10.0,ALFA  (2º e 3º ano)
ALUNO-45,2.0,F,2022.0,Não,6730556.0,576.0,93.0,16.0,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7916679999999990,9166666666666660,6.25,5.0,4.0,6.0,,3.0,6.25,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Não,Não,6777773333333330,5.0,Fase 3 (7º e 8º ano)
ALUNO-46,1.0,K,2020.0,Não,7398436561403500.0,362.0,94.0,7.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8500020000000000,9082456140350870,2024-05-07 00:00:00,5.0,3666666666666660,6333333333333330,,3.0,6041666666666660,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Não,Não,6888883333333330,10.0,Fase 1 (4º ano)
ALUNO-47,1.0,C,2021.0,Não,765278.0,254.0,66.0,4.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8500020000000000,10.0,2024-05-07 00:00:00,7416666666666660,7333333333333330,2024-05-07 00:00:00,,3.0,6.25,Promovido de Fase,Promovido de Fase,Promovido de Fase,,Não,Não,7222223333333330,5.0,Fase 2 (5º e 6º ano)
ALUNO-48,5.0,F,2022.0,Não,3914881285714280.0,855.0,59.0,4.0,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,541667,3803571428571420,6.25,0.0,0.0,0.0,,4.0,5625,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Alocado em Fase anterior,Não,Não,4625,5.0,Fase 6 (2º EM)
ALUNO-49,0.0,O,2022.0,Não,8339586333333330.0,54.0,14.0,1.0,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,950002,10.0,2024-05-07 00:00:00,8166666666666660,7833333333333330,2024-05-08 00:00:00,,2.0,5625-06-01 00:00:00,Promovido de Fase,Promovido de Fase,,,Não,Sim,9250005,5.0,Fase 1 (4º ano)
ALUNO-50,3.0,E,2022.0,Não,4966393630641450.0,823.0,128.0,12.0,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0.0,4630580097651700,2024-05-07 00:00:00,3055555555555550,4333333333333330,4666666666666660,1666666666666660,4.0,5625,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Alocado em Fase anterior,Não,Não,55833325,10.0,Fase 3 (7º e 8º ano)
ALUNO-51,1.0,F,2019.0,Não,6953190321839080.0,504.0,131.0,6.0,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9000020000000000,9203448275862060,2024-05-07 00:00:00,5083333333333330,4666666666666660,2024-05-05 00:00:00,,2.0,5625,Mantido na Fase atual,Promovido de Fase,,,Não,Não,691666,5.0,Fase 2 (5º e 6º ano)
ALUNO-56,7.0,A,2021.0,Não,3036573379084960.0,861.0,23.0,15.0,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0.0,3597794117647050,5.0,4444444444444440,0.5,8333333333333330,0.0,4.0,328125,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Alocado em Fase anterior,Não,Não,4500003333333330,5.0,Fase 8 (Universitários)
ALUNO-58,3.0,M,2022.0,Não,7305158063492060.0,386.0,45.0,2.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,791667,7991071428571420,2024-05-07 00:00:00,6888888888888880,5333333333333330,7666666666666660,7666666666666660,4.0,8125,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Sim,Não,7374995,5.0,Fase 4 (9º ano)
ALUNO-60,7.0,A,2016.0,Não,5783132947712410.0,753.0,18.0,10.0,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,833334,4129901960784310,5625,4044444444444440,2666666666666660,3466666666666660,6.0,4.0,796875,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase,Mantido na Fase atual,Sim,Não,7277773333333330,5.0,Fase 8 (Universitários)
ALUNO-61,2.0,U,2020.0,Não,6410355757575750.0,658.0,119.0,11.0,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1000002,7787878787878780,2024-05-07 00:00:00,2024-05-02 00:00:00,2.0,3.0,,3.0,6.25,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Não,738889,5.0,Fase 3 (7º e 8º ano)
ALUNO-63,0.0,J,2022.0,Não,6683821329434690.0,594.0,163.0,13.0,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,950002,8544103313840150,5625,5083333333333330,6.0,4166666666666660,,2.0,5625,Mantido na Fase atual,Mantido na Fase atual,,,Não,Não,691666,5.0,Fase 1 (4º ano)
ALUNO-64,3.0,M,2022.0,Não,4664931388888880.0,839.0,137.0,16.0,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,875001,3611111111111110,2024-05-07 00:00:00,2833333333333330,5666666666666660,2666666666666660,1666666666666660,4.0,484375,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Alocado em Fase anterior,Não,Não,38333325,5.0,Fase 5 (1º EM)
ALUNO-65,1.0,K,2021.0,Sim,7987503111111110.0,146.0,37.0,3.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1000002,9555555555555550,5625,8166666666666660,8166666666666660,8166666666666660,,3.0,6.25,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,,Não,Sim,8777783333333330,5.0,Fase 2 (5º e 6º ano)
ALUNO-66,3.0,D,2021.0,Não,7171874500000000.0,442.0,53.0,3.0,Ametista,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,666667,5784722222222220,2024-05-07 00:00:00,7777777777777770,5666666666666660,7666666666666660,10.0,4.0,734375,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não,Não,65416625,10.0,Fase 3 (7º e 8º ano)
ALUNO-67,1.0,G,2021.0,Não,6770192769423550.0,564.0,138.0,5.0,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,788220551378446,5.0,5583333333333330,3333333333333330,7833333333333330,,2.0,9375-05-01 00:00:00,Promovido de Fase,Promovido de Fase,,,Não,Não,7916665,5.0,Fase 2 (5º e 6º ano)
ALUNO-69,0.0,M,2022.0,Não,7598297219273480.0,272.0,76.0,3.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1000002,7545642763034060,2024-05-07 00:00:00,7883333333333330,2024-06-09 00:00:00,6166666666666660,,2.0,5625,Promovido de Fase + Bolsa,Mantido na Fase atual,,,Sim,Sim,2024-05-08 00:00:00,5.0,Fase 1 (4º ano)
ALUNO-70,2.0,D,2022.0,Não,8205557333333330.0,84.0,10.0,2.0,Topázio,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1000002,8833333333333330,2024-05-07 00:00:00,2024-05-06 00:00:00,7.0,6.0,,3.0,6666666666666660,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,,Não,Sim,861111,10.0,Fase 2 (5º e 6º ano)
ALUNO-72,0.0,D,2022.0,Não,7728843833635810.0,227.0,62.0,5.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,750002,8602540834845730,8125,8833333333333330,9166666666666660,2024-05-08 00:00:00,,2.0,5625,Promovido de Fase,Promovido de Fase,,,Não,Não,8083335,5.0,Fase 1 (4º ano)
ALUNO-73,4.0,L,2022.0,Não,6712044773504270.0,586.0,54.0,13.0,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,833334,6992521367521360,2024-05-07 00:00:00,2024-05-06 00:00:00,4.0,7.0,2024-05-08 00:00:00,4.0,671875,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não,Não,62916575,5.0,Fase 6 (2º EM)
ALUNO-74,4.0,B,2022.0,Não,6684722722222220.0,593.0,55.0,10.0,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,791667,6.25,6875,6111111111111110,4666666666666660,6666666666666660,7.0,4.0,2024-05-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não,Não,74166675,5.0,Fase 5 (1º EM)
ALUNO-75,5.0,L,2019.0,Sim,9441521857142850.0,1.0,1.0,1.0,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1000002,9660714285714280,9375,2024-05-08 00:00:00,7666666666666660,8.0,9833333333333330,4.0,921875,Promovido de Fase,Mantido na Fase atual,Mantido na Fase + Bolsa,Promovido de Fase + Bolsa,Não,Sim,975001,10.0,Fase 3 (7º e 8º ano)
ALUNO-76,1.0,B,2020.0,Não,8306175283950610.0,61.0,12.0,1.0,Topázio,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1000002,9419753086419750,2024-05-07 00:00:00,7166666666666660,7333333333333330,7.0,,3.0,5833333333333330,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,,Não,Não,827778,10.0,Fase 1 (4º ano)
ALUNO-77,0.0,I,2021.0,Não,7901663220043570.0,169.0,46.0,1.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1000002,8237472766884530,8.75,8333333333333330,8666666666666660,8.0,,2.0,5625,Promovido de Fase,Promovido de Fase,,,Não,Não,8.25,5.0,Fase 2 (5º e 6º ano)
ALUNO-78,1.0,D,2017.0,Não,7604387307346320.0,271.0,70.0,8.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,691668,9480259870064960,2024-05-07 00:00:00,7666666666666660,7833333333333330,2024-05-07 00:00:00,,3.0,6666666666666660,Promovido de Fase,Promovido de Fase,Promovido de Fase,,Não,Não,7833336666666660,5.0,Fase 3 (7º e 8º ano)
