INSTITUICAO_ENSINO_ALUNO_2020,NOME,IDADE_ALUNO_2020,ANOS_PM_2020,FASE_TURMA_2020,PONTO_VIRADA_2020,INDE_2020,INDE_CONCEITO_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020
Escola Pública,ALUNO-17,13,2,1G,Não,7766252,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9500020000000000,2024-08-06 00:00:00,2024-05-07 00:00:00,10,5625-06-01 00:00:00,7.75,5
Escola Pública,ALUNO-18,14,3,3E,Não,72055576666666600,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,958335,7,2024-05-07 00:00:00,2024-05-06 00:00:00,7083333333333330,7944446666666660,5
Rede Decisão/União,ALUNO-28,13,2,3J,Sim,9354725666666660,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,958335,2024-06-09 00:00:00,6875,9,10,9944453333333330,10
Escola Pública,ALUNO-30,7,0,0C,Não,7125001,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,79166799999999904,10,2024-05-07 00:00:00,4.75,2024-05-02 00:00:00,6916665,10
Escola Pública,ALUNO-33,13,0,3E,Não,7013888333333330,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,666667,2024-05-04 00:00:00,2024-05-07 00:00:00,8666666666666660,7083333333333330,6277773333333330,10
Escola Pública,ALUNO-34,12,2,2C,Não,7698890666666660,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8500020000000000,2024-03-09 00:00:00,6875,7,8125,7944443333333330,5
Escola Pública,ALUNO-35,18,3,7B,Não,664396,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,875001,2024-01-06 00:00:00,6.25,5,765625,829167,5
Escola Pública,ALUNO-36,14,1,3C,Não,8307780333333330,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,958335,2024-09-09 00:00:00,2024-05-07 00:00:00,8,8749999999999990,8222226666666660,5
Escola Pública,ALUNO-37,10,2,2N,Não,66788913333333296,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10000020000000000,2024-07-07 00:00:00,4375,2024-05-02 00:00:00,6458333333333330,777778,10
Escola Pública,ALUNO-39,13,3,3F,Não,8131388333333330,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,624999,2024-04-09 00:00:00,2024-05-07 00:00:00,8333333333333330,8541666666666660,6777780000000000,10
Escola Pública,ALUNO-41,11,0,1D,Não,7460002,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8000020000000000,2024-03-08 00:00:00,2024-05-07 00:00:00,7.25,2024-05-07 00:00:00,7.75,5
Escola Pública,ALUNO-43,13,2,4F,Não,78052090000000000,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,2024-05-07 00:00:00,2024-05-07 00:00:00,2024-05-07 00:00:00,7,796875,804167,10
Escola Pública,ALUNO-44,9,0,1M,Não,6218335,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,2024-08-06 00:00:00,2024-05-07 00:00:00,0,6.25,7916665,10
Escola Pública,ALUNO-45,11,1,1G,Não,6631252,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8500020000000000,1,2024-05-07 00:00:00,10,8125-07-01 00:00:00,7.75,5
Escola Pública,ALUNO-46,8,0,0C,Não,6966669,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9500020000000000,10,2024-05-07 00:00:00,0,2024-05-07 00:00:00,7583335,10
Escola Pública,ALUNO-51,8,1,0D,Não,8955835,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9500020000000000,2024-08-09 00:00:00,2024-05-07 00:00:00,10,8125,7416665,10
Escola Pública,ALUNO-52,10,2,2F,Não,8181112666666660,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10000020000000000,2024-06-08 00:00:00,6.25,7,7916666666666660,822222,10
Einstein,ALUNO-53,15,4,5X,,8696667999999990,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,916668,10,2024-05-07 00:00:00,2024-02-08 00:00:00,0,0,10
Rede Decisão/União,ALUNO-55,17,3,6C,Sim,6878125166666660,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,0,9,2024-05-07 00:00:00,6333333333333330,828125,8666667499999990,5
Rede Decisão/União,ALUNO-57,16,2,6B,Não,7311667166666660,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,833334,2024-01-07 00:00:00,6.25,5833333333333330,2024-05-07 00:00:00,75833325,10
Escola Pública,ALUNO-59,13,0,3E,Não,6563055666666660,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,875001,2024-06-03 00:00:00,2024-05-07 00:00:00,6,7291666666666660,6444439999999990,10
Rede Decisão/União,ALUNO-60,17,4,5F,Não,7679582333333330,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,2024-05-07 00:00:00,2024-07-09 00:00:00,6875,6666666666666660,4375-08-01 00:00:00,8124995,5
Escola Pública,ALUNO-61,10,0,1N,Não,5604168666666660,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9000020000000000,2024-05-06 00:00:00,2024-05-07 00:00:00,0,6875,7333333333333330,5
Escola Pública,ALUNO-62,12,0,2L,Não,6330001333333330,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,79166799999999904,2024-09-06 00:00:00,2024-05-07 00:00:00,2024-05-03 00:00:00,7083333333333330,2024-05-07 00:00:00,5
Escola Pública,ALUNO-68,10,0,1F,Não,5988752,D,Quartzo,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9000020000000000,2024-06-07 00:00:00,2024-05-07 00:00:00,0,7.1875,8,5
Escola Pública,ALUNO-71,10,1,0A,Não,7550001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8500020000000000,10,5,2024-05-09 00:00:00,2024-05-02 00:00:00,7749995,5
Rede Decisão/União,ALUNO-75,11,1,3L,Sim,9687504,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10000020000000000,10,10,9,9375,975001,10
Escola Pública,ALUNO-76,7,0,0B,Não,8958334,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,891668,10,10,10,2024-05-07 00:00:00,658333,10
Escola Pública,ALUNO-78,10,3,1A,Não,7352085,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9500020000000000,9,2024-05-07 00:00:00,2024-05-05 00:00:00,7.1875,7666665,5
Escola Pública,ALUNO-80,10,1,2N,Não,6499723333333330,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,69166799999999904,2024-02-09 00:00:00,2024-05-07 00:00:00,0,7291666666666660,7444443333333330,10
Escola Pública,ALUNO-81,15,1,4L,Sim,7386391000000000,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,541667,2024-08-08 00:00:00,2024-05-07 00:00:00,6,8125,911112,5
Escola Pública,ALUNO-82,9,0,0D,Não,7954169,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8500020000000000,10,2024-05-07 00:00:00,2024-05-08 00:00:00,6875,7333335,5
Rede Decisão/União,ALUNO-83,14,4,4B,Sim,8155003333333330,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,916668,2024-04-09 00:00:00,5625,5333333333333330,8958333333333330,9166676666666660,10
Escola Pública,ALUNO-84,8,0,0B,Não,8750001000000000,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,10,10,2024-05-08 00:00:00,2024-05-07 00:00:00,6999995,10
Escola Pública,ALUNO-85,9,1,0D,Não,7263334,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9500020000000000,2024-09-09 00:00:00,2024-05-02 00:00:00,10,2024-05-02 00:00:00,666666,5
Escola Pública,ALUNO-86,17,1,6A,Não,5688333833333330,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,833334,2024-09-04 00:00:00,2024-05-07 00:00:00,36666666666666600,2024-05-07 00:00:00,57083325,5
Rede Decisão/União,ALUNO-87,14,4,4L,Sim,8188612666666660,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,833334,2024-02-09 00:00:00,5625,6666666666666660,8749999999999990,8722226666666660,10
Rede Decisão/União,ALUNO-88,11,2,2D,Sim,9040420000000000,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10000020000000000,2024-04-09 00:00:00,2024-05-07 00:00:00,2024-05-09 00:00:00,9375-05-01 00:00:00,958334,10
Escola Pública,ALUNO-89,9,1,0G,Não,7937502,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10000020000000000,10,2024-05-07 00:00:00,2024-05-07 00:00:00,6875,2024-05-07 00:00:00,5
Escola Pública,ALUNO-90,14,1,3M,Não,7073542833333330,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,833334,2024-08-05 00:00:00,2024-05-07 00:00:00,7666666666666660,796875,75000025,5
Escola Pública,ALUNO-91,10,2,2H,Não,6846668,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,2024-04-06 00:00:00,6875,2024-05-04 00:00:00,5625,758333,10
Escola Pública,ALUNO-94,12,1,3B,Não,67552085,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,708333,6,2024-05-07 00:00:00,4,796875,75000025,10
Escola Pública,ALUNO-95,15,1,3A,Não,7336876333333330,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,958335,2024-02-08 00:00:00,2024-05-07 00:00:00,6666666666666660,796875,6791665,5
Escola Pública,ALUNO-96,18,1,7A,Sim,6432500999999990,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,916668,2024-01-06 00:00:00,6875,3,2024-05-07 00:00:00,8791664999999990,5
Escola Pública,ALUNO-97,12,2,2D,Não,7393752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9500020000000000,8,2024-05-07 00:00:00,6,4375-08-01 00:00:00,7.75,5
Escola Pública,ALUNO-100,12,2,1M,Não,6908335000000000,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9000020000000000,2024-05-06 00:00:00,4375,2024-05-07 00:00:00,6875,7916665,5
Escola Pública,ALUNO-102,9,0,1J,Não,7966668666666660,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8000020000000000,2024-05-08 00:00:00,2024-05-07 00:00:00,7,2024-05-07 00:00:00,7833333333333330,10
Escola Pública,ALUNO-103,8,0,0F,Não,8597919000000000,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,10,2024-05-07 00:00:00,2024-05-08 00:00:00,8125-07-01 00:00:00,7333335,10
Escola Pública,ALUNO-105,13,0,3B,Não,8516877,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,916668,2024-06-09 00:00:00,2024-05-07 00:00:00,8,796875,766667,10
Escola Pública,ALUNO-106,10,0,0H,Não,8450002,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9500020000000000,10,2024-05-07 00:00:00,10,2024-05-07 00:00:00,2024-05-07 00:00:00,5
Escola Pública,ALUNO-111,14,0,3L,Não,68535425,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,791667,2024-07-07 00:00:00,2024-05-07 00:00:00,2024-05-04 00:00:00,796875,78750025,5
Escola Pública,ALUNO-112,14,2,3H,Não,6448887666666660,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,791667,2024-08-06 00:00:00,4375,5333333333333330,7708333333333330,7611103333333330,5
Escola Pública,ALUNO-113,11,1,1M,Não,7693335000000000,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8500020000000000,2024-08-08 00:00:00,2024-05-07 00:00:00,2024-05-07 00:00:00,2024-05-07 00:00:00,7916665,5
Escola Pública,ALUNO-115,15,1,4A,Não,5331389333333330,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,916668,2024-09-01 00:00:00,6875,5166666666666660,7916666666666660,5111106666666660,5
Escola Pública,ALUNO-117,10,0,1M,Não,8032085,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8000020000000000,2024-09-08 00:00:00,2024-05-07 00:00:00,2024-05-09 00:00:00,7.1875,7916665,5
Escola Pública,ALUNO-118,8,1,1D,Não,8342085,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8500020000000000,2024-07-07 00:00:00,2024-05-07 00:00:00,10,7.1875,7416665,10
Escola Pública,ALUNO-120,9,1,0A,Não,7895835000000000,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9000020000000000,10,8125,2024-05-09 00:00:00,2024-05-02 00:00:00,7666665,5
Escola Pública,ALUNO-125,10,0,1C,Não,7187502,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9000020000000000,9,2024-05-07 00:00:00,5,7708333333333330,7333333333333330,5
Escola Pública,ALUNO-128,9,1,0G,Não,5854169000000000,D,Quartzo,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,74166799999999904,10,5625,2024-05-05 00:00:00,2024-05-02 00:00:00,3500005,5
Escola Pública,ALUNO-132,14,3,4F,Não,7344792,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,875001,2024-05-06 00:00:00,2024-05-07 00:00:00,6,828125,695833,10
Escola Pública,ALUNO-133,10,1,0D,Não,8428752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10000020000000000,2024-08-09 00:00:00,2024-05-07 00:00:00,10,7.1875,2024-05-07 00:00:00,5
Escola Pública,ALUNO-135,9,1,1A,Não,7798752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,2024-04-08 00:00:00,2024-05-07 00:00:00,2024-05-06 00:00:00,7.1875,7.25,10
Escola Pública,ALUNO-136,16,2,5A,Não,4643056,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,2024-05-07 00:00:00,4,4375,2,6666666666666660,5444446666666660,5
Escola Pública,ALUNO-139,17,0,5L,Não,6105834000000000,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,916668,2024-08-05 00:00:00,2024-05-07 00:00:00,4333333333333330,8125,5499996666666660,5
Rede Decisão/União,ALUNO-145,17,1,7B,Sim,8345001166666660,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,791667,2024-01-09 00:00:00,2024-05-07 00:00:00,7333333333333330,2024-05-07 00:00:00,88333375,10
