NOME,FASE_2021,TURMA_2021,INSTITUICAO_ENSINO_ALUNO_2021,SINALIZADOR_INGRESSANTE_2021,PEDRA_2021,INDE_2021,IAA_2021,IEG_2021,IPS_2021,IDA_2021,IPP_2021,REC_EQUIPE_1_2021,REC_EQUIPE_2_2021,REC_EQUIPE_3_2021,REC_EQUIPE_4_2021,PONTO_VIRADA_2021,IPV_2021,IAN_2021,NIVEL_IDEAL_2021,DEFASAGEM_2021
ALUNO-29,3.0,D,Escola Pública,Ingressante,Ágata,6342,2024-06-09 00:00:00,2024-03-05 00:00:00,2024-05-07 00:00:00,2024-08-03 00:00:00,2024-05-07 00:00:00,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,2024-09-07 00:00:00,5.0,Nível 5 (1o EM),-2.0
ALUNO-34,2.0,C,Escola Pública,Veterano,Ágata,6129,2024-09-06 00:00:00,2024-09-02 00:00:00,2024-05-07 00:00:00,2024-05-05 00:00:00,2024-07-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-07-08 00:00:00,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-35,7.0,A,Escola Pública,Veterano,Topázio,8416,2024-02-09 00:00:00,2024-04-09 00:00:00,2024-05-07 00:00:00,2024-02-08 00:00:00,2024-04-08 00:00:00,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Sim,2024-04-09 00:00:00,5.0,Nível 8 (Universitários),-1.0
ALUNO-36,3.0,C,Escola Pública,Veterano,Ágata,6246,2024-03-08 00:00:00,2024-04-06 00:00:00,2024-08-03 00:00:00,2024-07-04 00:00:00,2024-03-07 00:00:00,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,2024-09-07 00:00:00,5.0,Nível 5 (1o EM),-2.0
ALUNO-37,2.0,N,Escola Pública,Veterano,Ágata,6154,0.0,2024-04-05 00:00:00,2024-09-06 00:00:00,2024-05-06 00:00:00,2024-05-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-07-06 00:00:00,10.0,Nível 2 (5o e 6o ano),0.0
ALUNO-38,3.0,L,Escola Pública,Ingressante,Ágata,6847,2024-08-03 00:00:00,2024-09-06 00:00:00,2024-05-07 00:00:00,2024-01-05 00:00:00,2024-05-07 00:00:00,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,2024-08-07 00:00:00,10.0,Nível 3 (7o e 8o ano),0.0
ALUNO-40,5.0,B,Escola Pública,Ingressante,Ametista,7334,2024-02-09 00:00:00,2024-08-07 00:00:00,2024-05-07 00:00:00,6.0,2024-03-08 00:00:00,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,Não,8.0,5.0,Nível 6 (2o EM),-1.0
ALUNO-41,2.0,C,Escola Pública,Veterano,Ágata,6100,0.0,5.0,2024-05-07 00:00:00,2024-08-06 00:00:00,2024-05-07 00:00:00,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Não,2024-08-08 00:00:00,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-42,0.0,J,Escola Pública,Ingressante,Ágata,6802,10.0,2024-07-06 00:00:00,2024-05-07 00:00:00,4.0,2024-02-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,6.0,10.0,ALFA  (2o e 3o ano),0.0
ALUNO-46,0.0,P,Escola Pública,Veterano,Topázio,8471,2024-05-08 00:00:00,10.0,2024-05-07 00:00:00,2024-09-06 00:00:00,2024-01-08 00:00:00,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,Não,2024-04-08 00:00:00,10.0,ALFA  (2o e 3o ano),0.0
ALUNO-47,1.0,A,Escola Pública,Ingressante,Ágata,6056,2024-05-08 00:00:00,2024-03-06 00:00:00,2024-05-07 00:00:00,4.0,2024-05-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-08-05 00:00:00,5.0,Nível 2 (5o e 6o ano),-1.0
ALUNO-51,1.0,F,Escola Pública,Ingressante,Ametista,8051,9.0,2024-02-09 00:00:00,2024-05-07 00:00:00,2024-04-05 00:00:00,2024-07-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-06-08 00:00:00,10.0,Nível 1 (4o ano),0.0
ALUNO-54,3.0,B,Escola Pública,Ingressante,Ágata,6388,2024-05-07 00:00:00,2024-08-05 00:00:00,2024-05-07 00:00:00,2024-01-04 00:00:00,2024-03-07 00:00:00,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,2024-08-05 00:00:00,10.0,Nível 3 (7o e 8o ano),0.0
ALUNO-55,7.0,A,Rede Decisão,Veterano,Ametista,8219,2024-06-09 00:00:00,2024-09-08 00:00:00,2024-01-08 00:00:00,2024-06-07 00:00:00,2024-01-08 00:00:00,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Sim,2024-02-09 00:00:00,5.0,Nível 8 (Universitários),-1.0
ALUNO-56,6.0,A,Escola Pública,Ingressante,Ágata,6777,2024-08-08 00:00:00,2024-05-07 00:00:00,2024-06-05 00:00:00,2024-05-05 00:00:00,2024-08-07 00:00:00,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não,2024-02-07 00:00:00,5.0,Nível 7 (3o EM),-1.0
ALUNO-57,7.0,A,Rede Decisão,Veterano,Ametista,7213,2024-03-08 00:00:00,2024-09-06 00:00:00,2024-03-06 00:00:00,6.0,2024-07-07 00:00:00,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não,7.0,10.0,Nível 7 (3o EM),0.0
ALUNO-60,6.0,C,Rede Decisão,Veterano,Ametista,6956,2024-09-07 00:00:00,2024-05-07 00:00:00,2024-09-06 00:00:00,2024-01-06 00:00:00,2024-02-07 00:00:00,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não,2024-07-07 00:00:00,5.0,Nível 8 (Universitários),-2.0
ALUNO-61,1.0,M,Escola Pública,Veterano,Quartzo,3017,0.0,2024-03-01 00:00:00,2024-06-05 00:00:00,0.0,2024-09-06 00:00:00,Mantido na Fase atual,Não avaliado,Mantido na Fase atual,Não avaliado,Não,2024-01-05 00:00:00,5.0,Nível 2 (5o e 6o ano),-1.0
ALUNO-62,2.0,L,Escola Pública,Veterano,Ágata,5704,2024-05-08 00:00:00,2024-06-04 00:00:00,2024-05-07 00:00:00,2024-01-03 00:00:00,2024-01-08 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,2024-02-06 00:00:00,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-65,0.0,R,Escola Pública,Ingressante,Topázio,8438,10.0,10.0,2024-05-07 00:00:00,2024-09-06 00:00:00,2024-01-08 00:00:00,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Não avaliado,Não avaliado,Sim,10.0,5.0,Nível 1 (4o ano),-1.0
ALUNO-66,2.0,E,Escola Pública,Ingressante,Ágata,6875,8.0,2024-03-06 00:00:00,2024-05-07 00:00:00,2024-09-05 00:00:00,2024-05-08 00:00:00,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,2024-07-07 00:00:00,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-67,1.0,J,Escola Pública,Ingressante,Quartzo,4939,2024-04-07 00:00:00,2024-03-03 00:00:00,2024-05-07 00:00:00,2024-01-01 00:00:00,2024-03-08 00:00:00,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-01-06 00:00:00,5.0,Nível 2 (5o e 6o ano),-1.0
ALUNO-71,0.0,J,Escola Pública,Veterano,#NULO!,#NULO!,2024-04-07 00:00:00,0.0,5.0,2024-06-03 00:00:00,0.0,Não avaliado,Não avaliado,Não avaliado,Não avaliado,#NULO!,0.0,5.0,Nível 2 (5o e 6o ano),-2.0
ALUNO-75,4.0,L,Rede Decisão,Veterano,Topázio,9108,10.0,2024-02-09 00:00:00,2024-05-07 00:00:00,2024-05-08 00:00:00,2024-08-08 00:00:00,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Sim,2024-07-09 00:00:00,10.0,Nível 3 (7o e 8o ano),1.0
ALUNO-76,1.0,B,Escola Pública,Veterano,Topázio,8869,10.0,10.0,2024-05-07 00:00:00,2024-06-07 00:00:00,2024-05-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Sim,2024-02-09 00:00:00,10.0,ALFA  (2o e 3o ano),1.0
ALUNO-77,0.0,J,Escola Pública,Ingressante,Ametista,7854,2024-05-09 00:00:00,10.0,2024-05-07 00:00:00,2024-04-06 00:00:00,2024-05-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,2024-01-08 00:00:00,5.0,Nível 1 (4o ano),-1.0
ALUNO-78,1.0,B,Escola Pública,Ingressante,Ágata,6339,2024-09-08 00:00:00,2024-02-09 00:00:00,2024-05-07 00:00:00,2024-06-02 00:00:00,2024-03-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-06-05 00:00:00,5.0,Nível 2 (5o e 6o ano),-1.0
ALUNO-81,5.0,L,Rede Decisão,Veterano,Ágata,6188,2024-03-06 00:00:00,2024-08-05 00:00:00,2024-05-02 00:00:00,2024-05-06 00:00:00,2024-01-08 00:00:00,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não,2024-07-07 00:00:00,5.0,Nível 6 (2o EM),-1.0
ALUNO-83,5.0,B,Rede Decisão,Veterano,Ágata,5987,2024-07-06 00:00:00,2024-04-06 00:00:00,2024-08-03 00:00:00,3.0,2024-03-07 00:00:00,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,Não,2024-07-06 00:00:00,10.0,Nível 5 (1o EM),0.0
ALUNO-84,1.0,A,Escola Pública,Ingressante,Ametista,7867,2024-05-03 00:00:00,10.0,2024-05-07 00:00:00,2024-08-06 00:00:00,2024-05-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-03-08 00:00:00,10.0,Nível 1 (4o ano),0.0
ALUNO-85,0.0,P,Escola Pública,Veterano,Ágata,6652,2024-05-09 00:00:00,2024-07-06 00:00:00,2024-03-06 00:00:00,2024-09-06 00:00:00,2024-07-04 00:00:00,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,Não,7.0,5.0,Nível 2 (5o e 6o ano),-2.0
ALUNO-87,5.0,L,Rede Decisão,Veterano,Ametista,8004,2024-09-07 00:00:00,2024-08-07 00:00:00,2024-05-07 00:00:00,2024-08-07 00:00:00,2024-01-08 00:00:00,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não,2024-07-07 00:00:00,10.0,Nível 5 (1o EM),0.0
ALUNO-88,2.0,D,Rede Decisão,Veterano,Ametista,8096,2024-05-09 00:00:00,2024-06-09 00:00:00,2024-03-06 00:00:00,2024-04-07 00:00:00,2024-01-08 00:00:00,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Sim,2024-01-09 00:00:00,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-90,4.0,L,Escola Pública,Veterano,Ágata,5994,2024-01-07 00:00:00,5.0,2024-05-07 00:00:00,2024-06-04 00:00:00,2024-02-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não,7.0,5.0,Nível 5 (1o EM),-1.0
ALUNO-91,2.0,H,Escola Pública,Veterano,Quartzo,4200,2024-05-09 00:00:00,0.0,2024-05-07 00:00:00,2024-02-02 00:00:00,2024-06-05 00:00:00,Mantido na Fase atual,Não avaliado,Não avaliado,Não avaliado,Não,2024-05-02 00:00:00,10.0,Nível 2 (5o e 6o ano),0.0
ALUNO-93,0.0,L,Escola Pública,Ingressante,Ágata,6248,8.0,2024-02-04 00:00:00,2024-05-07 00:00:00,2024-01-05 00:00:00,2024-06-06 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,2024-09-05 00:00:00,10.0,ALFA  (2o e 3o ano),0.0
ALUNO-94,4.0,F,Escola Pública,Ingressante,Ágata,5923,2024-05-07 00:00:00,2024-06-03 00:00:00,2024-05-07 00:00:00,2024-06-04 00:00:00,2024-03-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não,2024-02-05 00:00:00,10.0,Nível 3 (7o e 8o ano),1.0
ALUNO-95,4.0,F,Escola Pública,Veterano,Quartzo,4957,2024-03-08 00:00:00,2024-06-05 00:00:00,2024-05-07 00:00:00,2024-03-01 00:00:00,2024-09-06 00:00:00,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,2024-01-04 00:00:00,5.0,Nível 6 (2o EM),-2.0
ALUNO-97,2.0,D,Escola Pública,Veterano,Ágata,6317,8.0,2024-08-05 00:00:00,2024-05-07 00:00:00,2024-08-05 00:00:00,2024-05-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,6.0,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-98,3.0,D,Escola Pública,Ingressante,Ametista,6953,2024-02-09 00:00:00,2024-04-06 00:00:00,2024-05-07 00:00:00,2024-03-06 00:00:00,2024-05-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-05-07 00:00:00,5.0,Nível 4 (9o ano),-1.0
ALUNO-100,1.0,M,Escola Pública,Veterano,Quartzo,3117,2024-05-08 00:00:00,0.0,2024-08-03 00:00:00,0.0,2024-03-06 00:00:00,Mantido na Fase atual,Não avaliado,Mantido na Fase atual,Não avaliado,Não,2024-08-03 00:00:00,5.0,Nível 3 (7o e 8o ano),-2.0
ALUNO-102,1.0,J,Escola Pública,Veterano,Ágata,6704,2024-03-06 00:00:00,2024-05-07 00:00:00,2024-05-07 00:00:00,2024-08-04 00:00:00,2024-09-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-08-07 00:00:00,5.0,Nível 2 (5o e 6o ano),-1.0
ALUNO-103,1.0,F,Escola Pública,Veterano,Ametista,8076,2024-05-09 00:00:00,2024-08-08 00:00:00,2024-03-06 00:00:00,2024-02-06 00:00:00,2024-09-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-06-08 00:00:00,10.0,Nível 1 (4o ano),0.0
ALUNO-104,0.0,J,Escola Pública,Ingressante,Ametista,8010,9.0,10.0,2024-05-07 00:00:00,2024-04-06 00:00:00,2024-02-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,2024-08-06 00:00:00,10.0,ALFA  (2o e 3o ano),0.0
ALUNO-105,4.0,E,Escola Pública,Veterano,Quartzo,4956,10.0,2024-01-01 00:00:00,2024-05-07 00:00:00,2024-08-02 00:00:00,2024-07-06 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,2024-07-03 00:00:00,10.0,Nível 4 (9o ano),0.0
ALUNO-106,1.0,N,Escola Pública,Veterano,Ametista,8242,10.0,2024-09-07 00:00:00,2024-05-07 00:00:00,2024-09-07 00:00:00,2024-03-08 00:00:00,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Sim,10.0,5.0,Nível 2 (5o e 6o ano),-1.0
ALUNO-109,6.0,A,Escola Pública,Ingressante,Ametista,7360,2024-05-07 00:00:00,2024-07-06 00:00:00,2024-05-07 00:00:00,2024-08-07 00:00:00,2024-04-08 00:00:00,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não,2024-02-08 00:00:00,5.0,Nível 7 (3o EM),-1.0
ALUNO-111,4.0,L,Escola Pública,Veterano,Ametista,7222,2024-03-08 00:00:00,2024-01-08 00:00:00,2024-05-07 00:00:00,6.0,2024-04-08 00:00:00,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Não,2024-04-07 00:00:00,5.0,Nível 5 (1o EM),-1.0
ALUNO-112,4.0,F,Escola Pública,Ingressante,Ágata,6098,2024-02-09 00:00:00,2024-01-03 00:00:00,2024-09-06 00:00:00,2024-02-06 00:00:00,2024-07-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não,2024-09-06 00:00:00,5.0,Nível 5 (1o EM),-1.0
ALUNO-113,2.0,K,Escola Pública,Veterano,Ágata,6664,2024-05-09 00:00:00,2024-01-07 00:00:00,2024-05-07 00:00:00,2024-06-04 00:00:00,2024-01-08 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-06-06 00:00:00,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-117,2.0,N,Escola Pública,Veterano,Ametista,7774,2024-05-08 00:00:00,2024-01-07 00:00:00,2024-05-07 00:00:00,2024-01-07 00:00:00,2024-03-08 00:00:00,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-06-07 00:00:00,10.0,Nível 2 (5o e 6o ano),0.0
ALUNO-118,1.0,B,Escola Pública,Veterano,Topázio,8299,2024-05-08 00:00:00,2024-06-09 00:00:00,2024-05-07 00:00:00,2024-09-06 00:00:00,2024-05-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-02-08 00:00:00,10.0,Nível 1 (4o ano),0.0
ALUNO-120,1.0,A,Escola Pública,Veterano,Ametista,7096,2024-05-08 00:00:00,2024-03-08 00:00:00,2024-05-07 00:00:00,2024-01-06 00:00:00,2024-05-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-08-06 00:00:00,5.0,Nível 2 (5o e 6o ano),-1.0
ALUNO-124,0.0,T,Escola Pública,Ingressante,Topázio,8275,9.0,2024-03-08 00:00:00,2024-05-07 00:00:00,2024-01-06 00:00:00,2024-01-08 00:00:00,Promovido de Fase,Promovido de Fase,Não avaliado,Não avaliado,Sim,2024-07-09 00:00:00,10.0,ALFA  (2o e 3o ano),0.0
ALUNO-125,2.0,P,Escola Pública,Veterano,Ágata,6461,2024-03-06 00:00:00,2024-06-04 00:00:00,2024-05-07 00:00:00,2024-06-04 00:00:00,2024-09-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,2024-02-07 00:00:00,10.0,Nível 2 (5o e 6o ano),0.0
ALUNO-126,0.0,P,Escola Pública,Ingressante,Ágata,6069,9.0,2024-02-04 00:00:00,2024-05-07 00:00:00,2024-05-04 00:00:00,2024-02-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,2024-03-07 00:00:00,5.0,Nível 1 (4o ano),-1.0
ALUNO-127,1.0,A,Escola Pública,Ingressante,Ametista,6907,10.0,2024-01-07 00:00:00,2024-05-07 00:00:00,2024-06-05 00:00:00,2024-05-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-09-06 00:00:00,5.0,Nível 2 (5o e 6o ano),-1.0
ALUNO-128,0.0,I,Escola Pública,Veterano,Quartzo,5229,2024-09-07 00:00:00,2024-07-06 00:00:00,2024-04-04 00:00:00,4.0,2024-05-02 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,2024-06-05 00:00:00,5.0,Nível 2 (5o e 6o ano),-2.0
ALUNO-129,2.0,H,Escola Pública,Ingressante,Ágata,5819,2024-04-07 00:00:00,2024-02-04 00:00:00,2024-05-07 00:00:00,2024-06-04 00:00:00,2024-02-07 00:00:00,Mantido na Fase atual,Não avaliado,Mantido na Fase atual,Não avaliado,Não,2024-03-04 00:00:00,10.0,Nível 2 (5o e 6o ano),0.0
ALUNO-133,1.0,F,Escola Pública,Veterano,Ametista,7990,2024-05-09 00:00:00,2024-06-09 00:00:00,2024-05-07 00:00:00,2024-01-07 00:00:00,2024-07-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-04-08 00:00:00,5.0,Nível 2 (5o e 6o ano),-1.0
ALUNO-135,1.0,A,Escola Pública,Veterano,Ágata,5788,2024-05-09 00:00:00,2024-02-04 00:00:00,2024-03-06 00:00:00,2024-06-03 00:00:00,2024-09-06 00:00:00,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-03-07 00:00:00,5.0,Nível 2 (5o e 6o ano),-1.0
ALUNO-137,0.0,R,Escola Pública,Ingressante,Ágata,6012,8.0,2024-08-05 00:00:00,2024-05-07 00:00:00,2024-03-05 00:00:00,5.0,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,2024-02-06 00:00:00,5.0,Nível 1 (4o ano),-1.0
ALUNO-143,3.0,H,Escola Pública,Ingressante,Ágata,6278,2024-09-07 00:00:00,2024-04-04 00:00:00,2024-03-06 00:00:00,2024-03-04 00:00:00,2024-05-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-08-06 00:00:00,10.0,Nível 3 (7o e 8o ano),0.0
ALUNO-149,7.0,A,Rede Decisão,Veterano,Topázio,8360,2024-08-08 00:00:00,2024-01-08 00:00:00,2024-09-06 00:00:00,2024-04-07 00:00:00,2024-03-08 00:00:00,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Sim,2024-04-09 00:00:00,10.0,Nível 7 (3o EM),0.0
ALUNO-151,2.0,J,Rede Decisão,Veterano,Topázio,9004,2024-05-09 00:00:00,2024-06-09 00:00:00,2024-01-08 00:00:00,2024-01-09 00:00:00,10.0,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Sim,10.0,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-152,3.0,B,Rede Decisão,Veterano,Topázio,8672,2024-08-08 00:00:00,2024-03-08 00:00:00,2024-05-07 00:00:00,8.0,2024-03-08 00:00:00,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Sim,2024-08-09 00:00:00,10.0,Nível 3 (7o e 8o ano),0.0
ALUNO-153,4.0,F,Rede Decisão,Veterano,Topázio,8355,10.0,2024-05-07 00:00:00,2024-05-07 00:00:00,2024-05-07 00:00:00,8.0,Promovido de Fase,Promovido de Fase,Promovido de Fase,Promovido de Fase,Sim,9.0,10.0,Nível 4 (9o ano),0.0
ALUNO-154,1.0,N,Escola Pública,Veterano,Quartzo,5163,2024-05-09 00:00:00,2024-09-02 00:00:00,2024-05-07 00:00:00,2024-05-01 00:00:00,2024-01-08 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-03-06 00:00:00,5.0,Nível 2 (5o e 6o ano),-1.0
ALUNO-155,6.0,C,Escola Pública,Ingressante,Quartzo,5082,2024-01-07 00:00:00,2024-03-05 00:00:00,0.0,2024-04-03 00:00:00,2024-01-08 00:00:00,Mantido na Fase + Bolsa,Promovido de Fase,Não avaliado,Não avaliado,Não,2024-06-06 00:00:00,5.0,Nível 7 (3o EM),-1.0
